,index,LoadHourlyAvg,Percentile
187,187,3981.567272727273,0.997
188,188,3979.89,0.997
189,189,3978.3272727272715,0.997
190,190,3974.4,0.997
191,191,3970.8900000000012,0.997
192,192,3966.57,0.997
193,193,3958.74,0.997
194,194,3952.210909090909,0.997
195,195,3948.840000000001,0.997
196,196,3944.552727272728,0.997
197,197,3943.4400000000014,0.997
198,198,3943.17,0.997
199,199,3938.130000000001,0.997
200,200,3938.072727272727,0.997
201,201,3934.8900000000012,0.997
202,202,3929.58,0.997
203,203,3926.07,0.997
204,204,3925.08,0.997
205,205,3922.380000000001,0.997
206,206,3920.105454545456,0.997
207,207,3920.04,0.997
208,208,3919.050000000001,0.997
209,209,3915.9,0.997
210,210,3915.09,0.997
211,211,3912.57,0.997
212,212,3911.563636363637,0.997
213,213,3910.68,0.997
214,214,3909.69,0.997
215,215,3906.63,0.997
216,216,3903.021818181818,0.997
217,217,3901.050000000001,0.997
218,218,3898.8981818181824,0.997
219,219,3895.854545454545,0.997
220,220,3895.74,0.997
221,221,3889.62,0.997
222,222,3888.0000000000014,0.997
223,223,3888.0000000000014,0.997
224,224,3885.75,0.997
225,225,3878.496000000001,0.996
226,226,3869.91,0.996
227,227,3869.549999999999,0.996
228,228,3862.7100000000014,0.996
229,229,3862.3500000000013,0.996
230,230,3861.27,0.996
231,231,3853.89,0.996
232,232,3851.3700000000013,0.996
233,233,3850.47,0.996
234,234,3842.1,0.996
235,235,3841.2360000000012,0.996
236,236,3841.0690909090918,0.996
237,237,3836.9454545454546,0.996
238,238,3834.0000000000014,0.996
239,239,3826.98,0.996
240,240,3817.4400000000014,0.996
241,241,3816.09,0.996
242,242,3811.68,0.996
243,243,3809.160000000001,0.996
244,244,3806.01,0.996
245,245,3805.5600000000013,0.996
246,246,3801.69,0.996
247,247,3798.2618181818175,0.996
248,248,3797.6727272727285,0.996
249,249,3793.7699999999986,0.996
250,250,3791.7,0.996
251,251,3789.0,0.996
252,252,3783.141818181818,0.996
253,253,3777.4800000000014,0.996
254,254,3776.31,0.996
255,255,3774.0600000000013,0.996
256,256,3773.6181818181813,0.996
257,257,3772.89,0.996
258,258,3772.7100000000014,0.996
259,259,3771.360000000001,0.996
260,260,3769.92,0.996
261,261,3768.39,0.996
262,262,3765.4200000000014,0.996
263,263,3763.8900000000012,0.996
264,264,3761.01,0.996
265,265,3761.01,0.996
266,266,3757.614545454546,0.996
267,267,3754.53,0.996
268,268,3752.676,0.996
269,269,3750.75,0.996
270,270,3749.4,0.996
271,271,3745.8900000000012,0.996
272,272,3745.35,0.996
273,273,3744.180000000001,0.996
274,274,3743.55,0.996
275,275,3742.380000000001,0.996
276,276,3742.380000000001,0.996
277,277,3739.156363636363,0.996
278,278,3734.91,0.996
279,279,3732.4800000000014,0.996
280,280,3730.516363636364,0.996
281,281,3728.52,0.996
282,282,3728.43,0.996
283,283,3727.6200000000013,0.996
284,284,3727.178181818183,0.996
285,285,3724.2,0.996
286,286,3723.84,0.996
287,287,3718.9309090909096,0.996
288,288,3718.7345454545452,0.996
289,289,3715.2,0.996
290,290,3713.220000000001,0.995
291,291,3710.43,0.995
292,292,3707.1490909090917,0.995
293,293,3702.6,0.995
294,294,3700.71,0.995
295,295,3700.35,0.995
296,296,3699.4909090909086,0.995
297,297,3684.4200000000014,0.995
298,298,3680.1490909090912,0.995
299,299,3680.1000000000013,0.995
300,300,3675.96,0.995
301,301,3675.78,0.995
302,302,3675.6,0.995
303,303,3672.9,0.995
304,304,3672.0000000000014,0.995
305,305,3672.0,0.995
306,306,3670.5600000000013,0.995
307,307,3668.3100000000013,0.995
308,308,3665.43,0.995
309,309,3664.6200000000013,0.995
310,310,3661.65,0.995
311,311,3661.396363636364,0.995
312,312,3661.110000000001,0.995
313,313,3660.552000000001,0.995
314,314,3658.745454545455,0.995
315,315,3656.970000000001,0.995
316,316,3655.529999999999,0.995
317,317,3654.5400000000013,0.995
318,318,3653.28,0.995
319,319,3653.19,0.995
320,320,3652.2,0.995
321,321,3650.616,0.995
322,322,3648.0,0.995
323,323,3647.061818181819,0.995
324,324,3646.7100000000014,0.995
325,325,3646.62,0.995
326,326,3645.72,0.995
327,327,3645.54,0.995
328,328,3643.38,0.995
329,329,3642.93,0.995
330,330,3642.7418181818184,0.995
331,331,3642.66,0.995
332,332,3639.6900000000014,0.995
333,333,3635.55,0.995
334,334,3632.67,0.995
335,335,3632.130000000001,0.995
336,336,3628.800000000001,0.995
337,337,3628.8,0.995
338,338,3628.8,0.995
339,339,3628.4400000000014,0.995
340,340,3624.872727272727,0.995
341,341,3621.9600000000014,0.995
342,342,3621.6,0.995
343,343,3620.7,0.995
344,344,3618.180000000001,0.995
345,345,3617.865000000001,0.995
346,346,3617.2285714285717,0.995
347,347,3616.036363636364,0.995
348,348,3615.12,0.995
349,349,3614.4,0.995
350,350,3613.32,0.995
351,351,3613.090909090909,0.995
352,352,3611.43,0.995
353,353,3610.7100000000014,0.995
354,354,3610.35,0.994
355,355,3607.380000000001,0.994
356,356,3605.49,0.994
357,357,3603.4200000000014,0.994
358,358,3601.4072727272737,0.994
359,359,3598.47,0.994
360,360,3596.94,0.994
361,361,3595.590000000001,0.994
362,362,3594.06,0.994
363,363,3592.98,0.994
364,364,3592.44,0.994
365,365,3590.4600000000014,0.994
366,366,3589.74,0.994
367,367,3589.200000000001,0.994
368,368,3589.110000000001,0.994
369,369,3586.6800000000007,0.994
370,370,3585.6,0.994
371,371,3585.6,0.994
372,372,3583.8,0.994
373,373,3582.4500000000007,0.994
374,374,3582.1800000000007,0.994
375,375,3581.9672727272728,0.994
376,376,3580.8480000000004,0.994
377,377,3577.6800000000007,0.994
378,378,3576.4200000000005,0.994
379,379,3576.150000000001,0.994
380,380,3574.6200000000013,0.994
381,381,3571.830000000001,0.994
382,382,3570.588,0.994
383,383,3569.580000000001,0.994
384,384,3567.870000000001,0.994
385,385,3567.4200000000005,0.994
386,386,3566.970000000001,0.994
387,387,3565.7100000000005,0.994
388,388,3565.17,0.994
389,389,3564.1800000000007,0.994
390,390,3564.0,0.994
391,391,3560.5799999999995,0.994
392,392,3558.9600000000005,0.994
393,393,3558.36,0.994
394,394,3555.1800000000007,0.994
395,395,3554.378181818182,0.994
396,396,3553.38,0.994
397,397,3550.41,0.994
398,398,3548.43,0.994
399,399,3546.0000000000005,0.994
400,400,3545.9100000000008,0.994
401,401,3544.0200000000004,0.994
402,402,3543.5781818181817,0.994
403,403,3542.4,0.994
404,404,3542.4,0.994
405,405,3541.7700000000004,0.994
406,406,3541.628571428572,0.994
407,407,3539.4300000000007,0.994
408,408,3539.070000000001,0.994
409,409,3538.7100000000005,0.994
410,410,3535.2000000000007,0.994
411,411,3534.9300000000007,0.994
412,412,3534.250909090909,0.994
413,413,3533.9563636363628,0.994
414,414,3532.23,0.994
415,415,3531.33,0.994
416,416,3530.25,0.994
417,417,3528.5400000000013,0.994
418,418,3528.27,0.993
419,419,3527.9100000000008,0.993
420,420,3527.7119999999995,0.993
421,421,3526.830000000001,0.993
422,422,3526.2000000000007,0.993
423,423,3525.709090909091,0.993
424,424,3524.760000000001,0.993
425,425,3524.4,0.993
426,426,3520.26,0.993
427,427,3514.32,0.993
428,428,3514.32,0.993
429,429,3513.9600000000005,0.993
430,430,3510.27,0.993
431,431,3509.550000000001,0.993
432,432,3508.8,0.993
433,433,3506.580000000001,0.993
434,434,3506.563636363637,0.993
435,435,3506.400000000001,0.993
436,436,3504.6900000000005,0.993
437,437,3503.127272727273,0.993
438,438,3502.800000000001,0.993
439,439,3499.92,0.993
440,440,3499.101818181818,0.993
441,441,3499.0200000000004,0.993
442,442,3499.0036363636364,0.993
443,443,3498.2100000000005,0.993
444,444,3498.120000000001,0.993
445,445,3495.6900000000005,0.993
446,446,3495.6,0.993
447,447,3494.6836363636357,0.993
448,448,3494.556,0.993
449,449,3491.9100000000008,0.993
450,450,3491.7381818181816,0.993
451,451,3488.9400000000005,0.993
452,452,3488.4,0.993
453,453,3486.456,0.993
454,454,3485.61,0.993
455,455,3484.7999999999993,0.993
456,456,3484.276363636363,0.993
457,457,3484.080000000001,0.993
458,458,3483.8100000000013,0.993
459,459,3483.5890909090917,0.993
460,460,3482.280000000001,0.993
461,461,3481.65,0.993
462,462,3480.9300000000007,0.993
463,463,3480.1199999999994,0.993
464,464,3479.13,0.993
465,465,3478.77,0.993
466,466,3477.24,0.993
