,index,LoadHourlyAvg,ZoneName,SignalMonth,ZoneAreaSqFt
21287,21287,1627.92,CAV-02-3A-25,5,334.0
21288,21288,1627.7400000000005,CAV-02-3A-03,3,268.0
21289,21289,1627.658181818182,CAV-01-3A-20,1,250.0
21290,21290,1627.5600000000002,CAV-02-5A-05,2,348.0
21291,21291,1627.47,CAV-01-3A-18,2,250.0
21292,21292,1627.3800000000003,CAV-01-3A-20,1,250.0
21293,21293,1627.38,CAV-02-3A-25,2,334.0
21294,21294,1627.38,CAV-01-3A-20,3,250.0
21295,21295,1627.38,CAV-02-5A-02,1,268.0
21296,21296,1627.2514285714285,CAV-02-5A-02,1,268.0
21297,21297,1627.2,CAV-02-3A-05,8,348.0
21298,21298,1627.1999999999998,CAV-02-5A-05,2,348.0
21299,21299,1627.1999999999998,CAV-02-5A-05,6,348.0
21300,21300,1627.0200000000004,CAV-01-3A-15,8,255.0
21301,21301,1627.0200000000002,CAV-02-5A-01,6,268.0
21302,21302,1627.0200000000002,CAV-02-3A-03,3,268.0
21303,21303,1626.9428571428573,CAV-01-3A-23,3,334.0
21304,21304,1626.9300000000003,CAV-01-3A-23,11,334.0
21305,21305,1626.9299999999996,CAV-01-3A-07,9,269.0
21306,21306,1626.84,CAV-01-3A-17,7,264.0
21307,21307,1626.7500000000002,CAV-01-3A-09,1,256.0
21308,21308,1626.7500000000002,CAV-01-3A-17,9,264.0
21309,21309,1626.66,CAV-02-5A-03,3,268.0
21310,21310,1626.66,CAV-02-5A-01,2,268.0
21311,21311,1626.4800000000005,CAV-01-3A-18,9,250.0
21312,21312,1626.4800000000002,CAV-01-3A-12,5,252.0
21313,21313,1626.4800000000002,CAV-01-3A-07,8,269.0
21314,21314,1626.3900000000003,CAV-01-3A-10,8,256.0
21315,21315,1626.2100000000005,CAV-01-3A-12,1,252.0
21316,21316,1626.2100000000005,CAV-01-3A-17,1,264.0
21317,21317,1626.2100000000005,CAV-01-3A-12,3,252.0
21318,21318,1626.2100000000005,CAV-01-3A-11,7,269.0
21319,21319,1626.2100000000005,CAV-02-3A-02,5,268.0
21320,21320,1626.2100000000005,CAV-01-3A-15,6,255.0
21321,21321,1626.21,CAV-01-3A-18,9,250.0
21322,21322,1626.21,CAV-01-3A-07,8,269.0
21323,21323,1626.21,CAV-01-3A-10,8,256.0
21324,21324,1626.21,CAV-01-3A-10,8,256.0
21325,21325,1626.21,CAV-01-3A-17,9,264.0
21326,21326,1626.21,CAV-01-3A-18,1,250.0
21327,21327,1626.21,CAV-01-3A-15,12,255.0
21328,21328,1626.21,CAV-01-3A-18,6,250.0
21329,21329,1626.2099999999998,CAV-01-3A-17,4,264.0
21330,21330,1626.12,CAV-01-3A-15,3,255.0
21331,21331,1626.12,CAV-01-3A-07,11,269.0
21332,21332,1626.12,CAV-01-3A-17,7,264.0
21333,21333,1626.12,CAV-02-3A-25,5,334.0
21334,21334,1626.0872727272726,CAV-01-3A-07,8,269.0
21335,21335,1625.9400000000005,CAV-02-5A-05,7,348.0
21336,21336,1625.9400000000005,CAV-01-3A-10,9,256.0
21337,21337,1625.9400000000005,CAV-01-3A-14,5,264.0
21338,21338,1625.9400000000005,CAV-01-3A-23,4,334.0
21339,21339,1625.9399999999998,CAV-02-3A-25,5,334.0
21340,21340,1625.9399999999998,CAV-02-3A-05,6,348.0
21341,21341,1625.8909090909094,CAV-02-5A-05,3,348.0
21342,21342,1625.890909090909,CAV-01-3A-24,5,268.0
21343,21343,1625.890909090909,CAV-02-5A-05,6,348.0
21344,21344,1625.890909090909,CAV-02-5A-05,6,348.0
21345,21345,1625.8500000000004,CAV-01-3A-18,9,250.0
21346,21346,1625.8500000000004,CAV-01-3A-20,6,250.0
21347,21347,1625.85,CAV-01-3A-18,5,250.0
21348,21348,1625.7927272727277,CAV-01-3A-07,8,269.0
21349,21349,1625.7600000000002,CAV-01-3A-23,6,334.0
21350,21350,1625.76,CAV-01-3A-17,10,264.0
21351,21351,1625.6700000000003,CAV-01-3A-10,5,256.0
21352,21352,1625.67,CAV-01-3A-16,2,255.0
21353,21353,1625.67,CAV-01-3A-09,2,256.0
21354,21354,1625.67,CAV-02-3A-25,3,334.0
21355,21355,1625.5800000000002,CAV-02-5A-02,8,268.0
21356,21356,1625.4981818181818,CAV-01-3A-11,4,269.0
